ID_OFICIAL;NOMBRE_BASE_OFICIAL;Escuela;URL Bibliografia;FOTO_URL
1;Ingeniería Ejecución Administración Empresas Mención  Marketing;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=165&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-marketing.jpg?updatedAt=1738199307768
2;Contabilidad General;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=13&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/contabilidad-general.jpg?updatedAt=1738199307422
3;Ingeniería Ejecución Administración Empresas Mención  Finanzas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=27&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-finanzas.jpg?updatedAt=1738199307818
4;Auditoría;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=6&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/auditoria.jpg?updatedAt=1738199310389
5;Técnico Administración Empresas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=120&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas.jpg?updatedAt=1738199307747
6;Técnico Administración Empresas Mención  Recursos Humanos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=66&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199307685
7;Ingeniería Ejecución Administración Empresas Mención  Recursos Humanos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=26&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199309278
8;Técnico Administración Empresas Mención  Finanzas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=69&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mencion-finanzas.jpg?updatedAt=1738199310205
9;Ingeniería en Negocios Electrónicos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=140&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
10;Ingeniería Gestión Operaciones Logísticas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=128&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-operaciones-logisticas.jpg?updatedAt=1738199310421
11;Ingeniería Administración Empresas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=160&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas.jpg?updatedAt=1738199310437
12;Técnico Administración Empresas Mención  Marketing;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=67&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mecion-marketing.jpg?updatedAt=1738199307795
