Escuela;Nombre Carrera;URL Carrera;FOTO_URL
Administración y Gestión Empresarial;AUDITORÍA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=6&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/auditoria.jpg?updatedAt=1738199310389
Administración y Gestión Empresarial;CONTABILIDAD GENERAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=13&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/contabilidad-general.jpg?updatedAt=1738199307422
Administración y Gestión Empresarial;INGENIERÍA EJECUCIÓN ADMINISTRACIÓN EMPRESAS MENCIÓN FINANZAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=27&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas.jpg?updatedAt=1738199310437
Administración y Gestión Empresarial;INGENIERÍA EJECUCIÓN ADMINISTRACIÓN EMPRESAS MENCIÓN MARKETING;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=165&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas.jpg?updatedAt=1738199310437
Administración y Gestión Empresarial;INGENIERÍA EJECUCIÓN ADMINISTRACIÓN EMPRESAS MENCIÓN RECURSOS HUMANOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=26&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199309278
Administración y Gestión Empresarial;INGENIERÍA EN ADMINISTRACIÓN DE EMPRESAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=160&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas.jpg?updatedAt=1738199310437
Administración y Gestión Empresarial;INGENIERÍA EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN FINANZAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=129&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-finanzas.jpg?updatedAt=1738199307818
Administración y Gestión Empresarial;INGENIERÍA EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN MARKETING;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=163&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-marketing.jpg?updatedAt=1738199307768
Administración y Gestión Empresarial;INGENIERÍA EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN RECURSOS HUMANOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=164&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199309278
Administración y Gestión Empresarial;INGENIERÍA EN GESTIÓN DE OPERACIONES LOGÍSTICAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=128&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-operaciones-logisticas.jpg?updatedAt=1738199310421
Administración y Gestión Empresarial;INGENIERÍA EN GESTIÓN DE RECURSOS HUMANOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=130&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199309805
Administración y Gestión Empresarial;INGENIERÍA EN GESTIÓN FINANCIERA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=152&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-financiera.jpg?updatedAt=1738199310333
